codice_aic;principio_attivo;quantita;unita_misura
000140018;N.D.;0;N.D.
000152013;N.D.;0;N.D.
000152025;N.D.;0;N.D.
000152037;ACIDO ACETILSALICILICO;;
000152049;ACIDO ACETILSALICILICO;;
000152064;ACIDO ACETILSALICILICO;;
000152076;ACIDO ACETILSALICILICO;;
000188019;N.D.;0;N.D.
000188021;N.D.;0;N.D.
000188033;ISTAMINA CLORIDRATO/AMILE SALICILATO/CANFORA/MENTOLO/TREMENTINA ESSENZA;;
000188045;ISTAMINA CLORIDRATO/AMILE SALICILATO/CANFORA/MENTOLO/TREMENTINA ESSENZA;;
000209015;EUCALIPTOLO/GUAIACOLO;;
000209027;EUCALIPTOLO/GUAIACOLO;;
000209039;N.D.;0;N.D.
000209041;N.D.;0;N.D.
000209054;N.D.;0;N.D.
000209066;N.D.;0;N.D.
000209078;N.D.;0;N.D.
000209080;N.D.;0;N.D.
000222012;N.D.;0;N.D.
000222024;SODIO BENZOATO;0.1;grammi
000240010;SCOPOLAMINA BROMIDRATO;;
000246013;N.D.;0;N.D.
000246025;N.D.;0;N.D.
000248017;PILOCARPINA CLORIDRATO;;
000248029;PILOCARPINA CLORIDRATO;;
000248031;PILOCARPINA CLORIDRATO;1;percent
000248043;N.D.;0;N.D.
000248056;PILOCARPINA CLORIDRATO;2;percent
000248068;N.D.;0;N.D.
000248070;PILOCARPINA CLORIDRATO;;
000248082;PILOCARPINA CLORIDRATO;;
000262016;RUBIDIO IODURO/CALCIO CLORURO/SODIO IODURO;;
000288011;FISOSTIGMINA SALICILATO;;
000288023;FISOSTIGMINA SALICILATO;;
000307013;ATROPINA SOLFATO;;
000307025;ATROPINA SOLFATO;;
000307037;ATROPINA SOLFATO;;
000307049;ATROPINA SOLFATO;;
000307052;ATROPINA SOLFATO;;
000307064;ATROPINA SOLFATO;;
000307076;ATROPINA SOLFATO;;
000307088;ATROPINA SOLFATO;;
000351015;VACCINO COLIBACILLARE;1;percent
000351027;VACCINO COLIBACILLARE;0;grammi
000354011;ACIDO ASCORBICO;;
000354023;ACIDO ASCORBICO;;
000354035;ACIDO ASCORBICO;;
000367019;SENNA FOGLIA;1.3;grammi
000367021;SENNA FOGLIA;2;grammi
000367033;SENNA FOGLIA;1.3;grammi
000367045;SENNA FOGLIA;2;grammi
000367058;SENNA FOGLIA;80;grammi
000367060;SENNA FOGLIA;100;grammi
000367072;SENNA FOGLIA;1.3;grammi
000367084;N.D.;0;N.D.
000367096;N.D.;0;N.D.
000367108;SENNA ESTRATTO SECCO;160;milligrammi
000367108;SENNA ESTRATTO SECCO;160;MG
000367110;SENNA ESTRATTO SECCO;700;milligrammi
000367110;SENNA ESTRATTO SECCO;700;MG
000380016;BROMOFORMIO/CODEINA/BALSAMO DEL TOLU';;
000380028;CODEINA FOSFATO;1.5;milligram(s)/millilitre
000401012;N.D.;0;N.D.
000401024;PEPSINA/ACIDO NICOTINICO/ACIDO LATTICO;;
000401036;N.D.;0;N.D.
000401048;N.D.;0;N.D.
