NB: I medicinali carenti, per i quali il Titolare AIC non abbia provveduto a comunicare la data effettiva di fine carenza, continueranno ad essere presenti nella “Lista dei farmaci temporaneamente carenti”, anche oltre la “data di fine presunta” inizialmente comunicata e indicata nella presente lista;;;;;;;;;;;;
Elenco dei farmaci carenti aggiornato al 06/11/2025;;;;;;;;;;;;
Nome medicinale;Codice AIC;Principio attivo;Forma farmaceutica e dosaggio;Titolare AIC;Data inizio;Fine presunta;Equivalente;Motivazioni;Suggerimenti/Indicazioni AIFA;Nota AIFA;Classe di rimborsabilità;Codice ATC
ABACAVIR E LAMIVUDINA SUN;045348036;ABACAVIR + LAMIVUDINE;"""600 MG/300 MG COMPRESSE RIVESTITE CON FILM"" 30 COMPRESSE IN BLISTER PVC/PA/AL";SUN PHARMA FRANCE;28/07/2025;;Sì;Problemi produttivi;Si rilascia autorizzazione all’importazione alle strutture sanitarie per analogo autorizzato all’estero, nel caso in cui le strutture interessate riscontrino discontinuità nella fornitura, a livello delle reti distributive cui hanno accesso;;A CARICO DEL SSN AMBITO OSPED.;J05AR02
ABIMONO;025358045;ISOCONAZOLO NITRATO;"""1% CREMA VAGINALE"" 1 TUBO DA 30 G + 6 APPLICATORI MONOUSO";FARMITALIA INDUSTRIA CHIMICO FARMACEUTICA S.R.L.;01/02/2019;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;G01AF07
ABIOCLAV;037350028;ACIDO CLAVULANICO + AMOXICILLINA;""" 400 MG + 57 MG/5 ML POLVERE PER SOSPENSIONE ORALE "" FLACONE DA 70 ML CON CUCCHIAIO DOSATORE";AESCULAPIUS FARMACEUTICI SRL;15/12/2023;;Sì;Elevata richiesta;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J01CR02
ABIOCLAV;037350016;ACIDO CLAVULANICO + AMOXICILLINA;""" 875 MG + 125 MG COMPRESSE RIVESTITE CON FILM "" 12 COMPRESSE IN BLISTER AL/PE";AESCULAPIUS FARMACEUTICI SRL;01/06/2025;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J01CR02
ABIRATERONE ACCORD;049479025;ABIRATERONE;500 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/PVDC/ALL) - 56 X 1 COMPRESSE (DOSE UNITARIA);ACCORD HEALTHCARE, S.L.U.;26/01/2026;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;L02BX03
ABIRATERONE EG;049475344;ABIRATERONE ACETATO;"""500 MG COMPRESSE RIVESTITE CON FILM"" 56X1 COMPRESSE IN BLISTER DIVISIBILE PER DOSE UNITARIA AL-PVC/PE/PVDC";EG S.P.A.;26/01/2023;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;L02BX03
ABIRATERONE MYLAN;049686052;ABIRATERONE ACETATO;500 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (ALU-PVC/PE/PVDC) - 56 COMPRESSE;MYLAN PHARMACEUTICALS LIMITED;30/06/2024;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;L02BX03
ABIRATERONE SUN;050293012;ABIRATERONE ACETATO;"""500 mg COMPRESSE RIVESTITE CON FILM"" 56 COMPRESSE IN BLISTER PVDC/PE/PVC/AL";SUN PHARMA FRANCE;20/03/2025;;Sì;Elevata richiesta;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;L02BX03
ABIRATERONE ZENTIVA;049755010;ABIRATERONE ACETATO;"""500 mg compresse rivestite con film"" 56 compresse in blister PVC/PVDC/AL";ZENTIVA ITALIA S.R.L.;16/09/2024;;Sì;Elevata richiesta;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;L02BX03
ABRIFF;042292033;FLUTICASONE PROPIONATO + FORMOTEROLO FUMARATO DIIDRATO;"""250 MICROGRAMMI/10 MICROGRAMMI PER EROGAZIONE, SOSPENSIONE PRESSURIZZATA PER INALAZIONE"" 120 EROGAZIONI PER INALATORE";MUNDIPHARMA PHARMACEUTICALS S.R.L.;17/11/2025;19/01/2026;Sì;Elevata richiesta: distribuzione contingentata;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;R03AK11
